,"Fossil fuels and cement production emissions by country (territorial, GCB)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,0,1,25,0,2,0,0,40,1,0,94,18,8,1,5,7,0,16,34,0,0,0,0,0,3,1,86,0,1,13,0,0,1,150,0,0,0,17,889,15,0,0,0,1,2,5,7,0,2,32,17,0,16,0,0,5,6,34,2,0,0,4,1,0,0,0,16,115,0,1,0,1,245,2,27,0,0,2,0,0,0,0,1,12,17,1,272,67,20,12,104,15,127,3,339,4,30,3,0,NaN,15,1,0,2,4,0,0,12,0,4,2,0,3,0,0,30,0,0,1,0,0,1,107,2,0,0,9,0,2,0,0,1,47,1,9,1,0,11,0,12,0,6,27,0,2,1,1,8,19,3,90,18,9,1,109,1,0,1,25,406,0,0,0,0,0,0,62,1,10,0,0,14,12,4,0,0,102,82,2,0,0,0,1,0,15,12,14,56,1,45,NaN,1,0,6,5,57,10,0,0,0,81,21,153,1,1591,2,33,0,47,13,NaN,4,0,4,3827,2638,3595,2870,1136,226,2010,33,1682,338,1848,104,226,210,0,6675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0,1,24,0,3,0,0,39,1,1,96,18,8,1,5,7,0,15,35,0,0,0,0,0,4,1,88,0,1,12,0,0,1,156,0,0,0,16,914,15,0,0,0,1,2,5,7,1,2,35,19,0,15,0,0,5,6,38,2,0,0,4,1,0,0,0,16,114,0,1,0,1,246,2,28,0,0,3,0,0,0,0,1,11,16,1,281,73,20,12,101,16,128,3,345,4,36,3,0,NaN,15,1,0,2,4,1,0,13,0,3,2,0,3,1,0,35,0,0,1,0,0,1,108,2,0,0,9,0,3,0,0,1,47,1,9,1,0,22,0,12,0,6,29,0,2,1,1,8,20,3,87,18,9,1,122,1,0,1,26,402,0,0,0,0,0,0,81,1,12,0,0,13,11,4,0,0,103,85,3,0,0,0,1,0,15,12,14,61,1,47,NaN,0,0,6,5,63,10,0,0,0,78,31,155,1,1637,1,33,0,41,14,NaN,4,0,4,3885,2768,3681,2971,1142,242,2093,35,1683,372,1901,106,220,212,0,6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,0,1,23,0,3,0,0,36,1,1,98,19,8,1,4,8,0,15,34,0,0,0,0,0,4,1,91,0,1,13,0,0,1,154,0,0,0,14,935,15,0,0,0,2,2,6,7,1,2,35,20,0,15,0,0,5,6,34,2,1,0,4,1,0,0,0,17,115,0,1,0,1,250,2,29,0,0,3,0,0,0,0,2,10,16,1,283,81,23,13,108,17,130,3,341,4,35,3,0,NaN,16,1,0,2,4,1,0,13,0,3,3,0,3,0,0,37,0,0,1,0,0,1,112,2,0,0,10,0,2,1,0,1,48,1,9,1,0,24,0,12,0,5,29,0,2,1,1,7,19,2,86,18,11,1,122,1,0,2,27,411,0,0,0,0,0,0,81,1,13,0,0,13,12,4,0,0,101,85,3,0,0,0,1,0,15,12,13,61,1,50,NaN,0,0,7,6,58,10,0,0,0,83,27,157,1,1610,1,34,0,47,16,0,4,1,3,3891,2821,3669,3043,1161,241,2129,37,1719,378,1876,108,223,211,0,6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,0,1,24,0,3,0,0,34,1,1,99,20,8,1,4,9,0,15,34,0,1,0,0,0,4,1,89,0,1,13,0,0,1,156,0,0,0,15,1032,15,0,0,0,2,2,6,7,1,2,34,19,0,15,0,0,6,7,34,2,2,0,4,1,0,0,0,18,114,0,1,0,1,246,2,29,0,0,3,0,0,0,0,2,11,16,1,286,84,24,13,109,16,130,3,349,4,40,2,0,NaN,16,1,0,2,4,1,0,13,0,3,3,0,3,0,0,37,0,0,1,0,0,1,112,2,0,0,10,0,2,0,0,1,48,1,9,1,0,26,0,12,0,7,31,0,2,1,1,7,19,3,84,19,11,1,127,1,0,2,28,408,0,0,0,0,0,0,89,1,14,0,0,13,11,5,0,0,97,91,3,0,0,0,0,0,15,12,10,64,1,52,0,0,0,8,6,60,11,0,0,0,81,23,153,1,1622,1,35,0,53,19,0,4,1,3,3901,2957,3691,3167,1155,242,2261,38,1708,382,1890,110,226,216,0,7074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,0,1,25,0,2,0,0,37,1,1,101,21,8,1,5,9,0,16,35,0,1,0,0,0,4,1,87,0,1,14,0,0,1,160,0,0,0,15,1215,16,0,0,0,2,1,6,7,1,2,35,19,0,17,0,0,6,7,40,2,2,0,5,1,0,0,0,20,115,0,1,0,1,246,2,30,0,0,3,0,0,0,0,2,12,17,1,298,86,25,12,113,17,134,3,351,5,45,2,0,NaN,16,1,0,2,5,1,0,13,0,3,3,0,3,0,0,43,0,0,1,0,0,1,119,2,1,0,10,1,3,1,0,1,49,1,10,1,0,27,0,12,0,9,32,0,2,1,1,7,19,3,87,18,11,1,126,1,0,2,29,416,0,0,0,0,0,0,89,1,15,0,0,8,12,4,0,0,110,92,3,0,0,0,0,0,16,12,15,66,1,55,0,0,0,9,6,65,12,0,0,0,84,29,156,1,1635,1,35,0,52,21,0,5,1,3,3960,3229,3748,3442,1180,263,2479,40,1746,407,1915,112,227,225,0,7415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0,1,24,0,5,0,0,43,1,1,105,21,9,1,5,10,0,17,35,0,1,0,0,0,4,1,91,0,1,14,0,0,1,160,0,0,0,16,1399,15,0,0,0,2,2,6,7,1,2,35,20,0,15,0,0,5,8,41,2,2,0,5,1,0,0,0,19,116,0,1,0,1,242,2,30,0,0,3,0,0,0,1,2,11,16,1,313,93,31,13,121,16,135,3,350,5,46,2,0,NaN,17,2,0,2,5,1,0,14,0,4,3,0,3,0,0,47,0,0,1,0,0,1,120,2,1,0,12,1,3,1,0,1,50,1,10,1,0,27,0,12,1,8,35,0,2,1,1,9,20,3,88,18,12,1,131,1,0,3,28,418,0,0,0,0,0,0,108,1,16,0,0,8,12,5,0,0,123,96,3,0,0,0,0,0,15,12,14,68,1,60,0,0,0,9,6,67,13,0,0,0,85,31,156,1,1666,2,34,0,41,24,0,5,1,3,3999,3520,3791,3727,1182,281,2709,40,1754,443,1946,116,229,245,0,7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0,1,29,0,5,0,0,44,1,1,105,22,9,0,5,10,0,17,34,0,1,0,0,0,4,1,93,0,1,14,0,0,1,157,0,0,0,17,1575,16,0,0,0,2,2,6,7,1,2,34,20,0,14,0,0,5,8,45,2,2,0,5,1,0,0,0,16,117,0,1,0,1,237,2,31,0,0,3,0,0,0,1,2,12,17,1,330,94,31,13,127,15,135,3,352,6,50,2,0,NaN,19,2,0,2,5,1,0,14,0,4,3,0,3,0,0,50,0,0,1,0,0,1,127,2,0,0,12,0,3,1,0,1,48,1,10,1,0,29,0,12,1,8,37,0,2,1,1,10,20,3,88,19,14,1,125,1,0,3,28,422,0,0,0,0,0,0,108,2,14,0,0,8,12,5,0,0,114,100,3,0,0,0,0,0,15,12,14,70,1,61,0,0,0,10,6,72,13,0,0,1,85,31,155,1,1673,2,32,0,45,26,0,5,1,3,4005,3764,3799,3970,1176,286,2915,42,1751,461,1957,117,240,255,0,8024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0,1,27,0,6,0,0,48,1,1,107,21,11,0,5,11,0,18,34,0,1,0,0,0,5,1,93,0,1,14,0,0,1,156,0,0,0,17,1741,17,0,0,0,2,2,6,7,1,2,35,21,0,16,0,0,5,8,48,2,2,0,4,1,0,0,0,19,114,0,1,0,2,240,3,31,0,0,3,1,0,0,1,2,11,16,1,351,95,27,13,137,17,133,3,346,6,56,3,0,NaN,20,1,0,2,4,1,0,14,0,4,3,0,3,0,0,49,0,0,1,0,0,1,130,3,1,0,13,1,3,1,0,1,47,1,10,1,0,27,0,12,1,11,39,0,2,1,1,8,18,4,92,18,17,1,127,1,0,3,29,439,0,0,0,0,0,0,118,1,17,0,0,8,12,5,0,0,122,98,3,0,0,0,0,0,15,12,14,68,1,62,0,0,0,12,6,77,13,0,0,1,91,33,155,2,1651,2,33,0,46,27,0,6,1,3,3999,4021,3783,4238,1177,297,3108,44,1777,493,1937,119,245,270,0,8290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1,30,0,7,0,0,48,1,1,109,20,8,0,7,12,0,18,33,0,1,0,0,0,5,1,97,0,2,15,0,0,1,162,0,0,0,19,1873,17,0,0,0,2,2,7,7,2,2,35,17,0,15,0,0,6,9,51,2,2,0,5,2,0,0,0,18,111,0,1,0,2,232,3,31,0,0,3,1,0,0,1,2,12,16,1,379,103,17,13,140,17,131,3,356,6,58,3,0,NaN,20,2,0,2,4,1,0,13,0,4,3,0,3,0,0,50,0,0,1,0,0,1,131,3,1,0,14,1,3,1,0,1,47,1,10,1,0,26,0,13,1,12,43,0,2,2,1,9,19,3,92,17,17,2,135,1,0,4,29,438,0,0,0,0,0,0,105,1,16,0,0,5,11,5,0,0,127,100,3,0,0,0,0,0,14,12,18,75,1,63,0,0,0,12,6,85,15,0,0,1,92,36,153,2,1672,2,33,0,44,27,0,6,1,3,4025,4227,3825,4427,1164,309,3306,46,1763,492,1966,121,250,285,0,8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,1,30,0,7,0,0,51,2,1,111,20,10,1,8,12,0,18,33,0,1,0,0,0,5,1,104,0,2,15,0,0,1,157,0,0,0,19,2013,18,0,0,0,2,2,6,8,2,2,34,19,0,14,0,0,6,9,53,2,2,0,5,2,0,0,0,16,109,0,1,0,1,233,2,30,0,0,3,1,0,0,1,2,12,16,1,422,114,25,13,146,19,128,3,336,6,58,3,0,2,22,2,1,2,5,1,0,15,0,4,3,0,3,1,0,55,0,0,1,0,0,1,135,3,1,0,14,1,3,1,0,1,48,1,10,1,0,26,0,12,1,11,42,0,2,1,1,11,21,4,90,16,18,1,138,1,0,4,29,447,0,0,0,0,0,0,118,1,14,0,0,10,11,5,0,0,135,92,3,0,0,0,1,0,14,12,18,71,1,62,0,0,0,12,7,84,15,0,0,1,89,42,149,2,1618,2,34,0,49,31,0,6,1,2,3927,4516,3730,4713,1137,322,3500,45,1744,529,1910,122,270,289,0,8732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,1,33,0,8,0,0,49,1,1,111,18,9,0,8,13,0,17,29,0,1,0,0,0,6,1,98,0,2,12,0,0,1,148,0,0,0,18,2118,20,0,0,0,2,2,6,8,2,2,31,15,0,13,0,0,5,10,55,2,2,0,4,2,0,0,0,15,104,0,1,0,2,215,2,28,0,0,3,1,0,0,1,2,11,14,1,469,122,28,11,149,17,114,2,317,6,57,3,0,2,24,2,1,2,6,1,0,16,0,4,3,1,2,0,0,54,0,0,1,0,1,1,130,4,0,0,14,1,3,1,0,1,46,1,9,1,0,20,0,12,1,11,42,0,2,1,1,14,21,4,86,16,19,2,138,1,0,4,24,417,0,0,0,0,0,0,127,1,13,0,0,16,10,4,0,0,137,81,4,0,0,0,1,0,13,12,17,67,1,66,0,1,0,12,7,86,14,0,0,1,76,45,135,2,1499,2,29,0,49,34,0,7,1,2,3645,4684,3494,4835,1045,325,3637,45,1605,550,1778,123,266,277,0,8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,1,32,0,8,0,0,51,1,1,111,20,8,1,8,15,0,17,31,0,1,0,0,0,6,1,112,0,2,13,1,0,1,152,0,0,0,19,2320,21,0,1,0,2,2,6,9,1,2,32,14,1,13,0,0,6,10,54,2,2,0,5,2,0,0,0,17,106,0,1,0,2,227,3,27,0,0,3,1,0,0,1,2,11,14,1,464,117,30,11,154,19,116,2,331,6,64,3,0,2,24,2,1,2,5,1,0,17,0,4,3,0,2,1,0,59,0,1,1,0,1,1,127,4,1,0,15,1,4,1,0,1,50,1,10,1,0,31,0,13,1,13,45,0,2,1,1,16,23,4,91,14,20,2,154,1,0,4,23,440,0,0,0,0,0,0,141,2,12,0,0,16,11,4,0,0,128,77,4,0,0,0,1,0,14,12,17,72,1,70,0,1,0,13,7,86,16,0,0,1,80,43,140,2,1556,2,28,0,52,37,0,6,1,2,3780,4975,3616,5138,1076,332,3891,47,1667,572,1834,122,289,293,0,9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,1,33,0,8,0,0,52,1,1,110,19,9,0,8,15,0,17,28,0,1,0,0,0,6,1,117,0,3,14,1,0,1,155,0,0,0,21,2562,21,0,1,0,2,2,6,8,1,2,31,10,1,12,0,0,6,10,58,2,3,0,5,2,0,0,0,15,100,0,1,0,2,221,3,26,0,0,3,1,0,0,1,2,12,14,1,495,139,37,10,158,19,113,2,345,6,62,4,0,2,24,2,1,2,6,1,0,11,0,4,3,0,3,1,0,59,0,1,1,0,1,1,132,6,1,0,15,1,4,1,0,1,46,1,9,1,0,36,0,12,1,15,46,0,3,1,1,13,23,4,91,14,22,2,161,1,0,4,24,455,0,0,0,0,0,0,136,2,13,0,0,13,10,4,0,0,130,78,4,0,0,0,0,0,13,11,15,73,1,69,0,1,0,13,7,93,17,0,0,1,84,46,128,2,1521,2,31,0,47,40,0,6,1,3,3738,5314,3574,5479,1037,340,4212,47,1646,589,1808,122,290,301,0,9354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3,1,35,0,9,0,0,52,2,0,111,18,10,1,7,17,0,17,28,0,1,0,0,0,6,1,126,0,3,13,1,0,1,156,0,0,0,22,2629,22,0,1,0,2,2,5,8,2,2,30,10,1,11,0,0,6,9,59,2,2,0,5,2,0,0,0,14,100,0,1,0,2,222,4,25,0,0,3,1,0,1,1,2,12,13,1,540,144,42,10,164,20,107,2,356,6,64,3,0,2,27,3,1,2,6,1,0,14,0,4,3,0,2,1,0,59,0,1,1,0,1,1,135,10,1,0,16,1,3,1,0,2,45,1,10,1,0,32,0,12,1,16,45,0,3,1,1,15,24,5,89,14,25,2,159,1,0,4,24,458,0,0,0,0,0,0,154,2,12,0,0,14,10,4,0,0,126,76,4,0,0,0,1,0,13,12,12,70,1,74,0,1,0,12,7,97,18,0,0,1,83,59,133,3,1466,2,31,0,52,37,0,5,1,2,3683,5514,3527,5670,1021,343,4348,46,1630,642,1757,123,307,299,0,9496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2,1,36,0,9,0,0,52,2,0,109,19,10,1,9,17,0,18,28,0,1,0,0,0,6,2,135,0,2,12,1,0,1,158,0,0,0,22,2674,25,0,1,0,2,3,5,8,1,2,29,7,1,11,0,0,6,11,57,2,2,0,5,3,0,0,0,14,100,0,1,0,2,227,4,22,0,0,3,1,0,1,1,3,12,12,1,544,112,45,10,166,18,99,2,359,6,66,3,0,2,26,3,1,2,6,1,0,15,0,4,3,0,2,1,0,64,0,1,1,0,1,1,134,12,1,0,16,1,4,1,0,2,45,1,10,1,1,33,0,12,1,17,47,0,3,1,1,12,26,5,88,13,23,1,161,1,0,4,21,442,0,0,0,0,0,0,148,2,12,0,0,15,10,4,0,0,125,69,4,0,0,0,1,0,12,12,10,70,1,78,0,1,0,13,7,94,18,0,0,1,81,60,130,3,1507,2,28,0,50,38,0,7,1,3,3685,5553,3548,5690,997,347,4384,47,1588,634,1799,120,318,304,0,9541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,1,39,0,12,0,0,53,2,0,107,18,10,1,9,18,0,17,26,0,1,0,0,0,5,2,143,0,2,12,1,0,2,158,0,0,0,21,2680,23,0,1,0,2,3,5,7,2,2,28,8,1,10,0,0,6,12,61,2,2,0,5,3,0,0,0,13,92,0,1,0,2,216,4,21,0,0,4,1,0,1,1,3,12,12,1,600,100,45,10,175,17,95,2,345,7,70,4,0,2,24,3,1,2,6,1,0,16,0,4,3,0,2,1,0,66,0,1,1,0,1,1,131,8,1,0,16,2,4,1,0,2,43,1,10,1,1,35,0,12,1,16,49,0,3,2,1,14,28,5,84,13,29,2,160,1,0,4,21,442,0,0,0,0,0,0,164,2,10,0,0,15,9,4,0,0,132,69,5,0,0,0,1,0,12,11,8,71,1,76,0,1,0,13,8,99,19,0,0,1,70,61,120,3,1521,2,29,0,50,44,0,7,1,3,3625,5683,3497,5811,951,371,4438,47,1527,668,1810,119,327,306,0,9614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,1,41,0,9,0,0,55,1,0,110,18,10,1,9,20,0,16,27,0,2,0,0,0,5,1,135,0,2,13,1,0,2,157,0,0,0,22,2652,25,0,1,0,2,3,5,8,2,2,29,7,1,10,0,0,6,12,60,2,2,0,4,4,0,0,1,12,93,0,1,0,3,217,4,20,0,0,4,1,0,1,1,3,12,13,1,627,138,45,10,175,18,97,2,334,7,72,4,0,2,25,3,2,2,7,1,0,15,0,4,3,1,2,1,0,64,0,1,0,0,1,1,132,6,1,0,17,2,6,1,0,2,45,1,10,1,1,31,0,12,1,18,50,0,3,2,2,14,31,5,85,14,29,2,162,1,1,5,21,443,0,0,0,0,0,0,169,3,12,0,0,17,9,4,0,0,126,74,5,0,0,0,0,0,12,11,8,70,1,77,0,1,0,13,8,104,19,0,0,1,61,52,115,3,1480,2,28,0,47,49,0,3,1,3,3577,5724,3466,5835,960,363,4479,49,1529,670,1769,122,320,316,0,9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,1,40,0,9,0,0,55,1,0,113,18,10,0,9,21,0,17,27,0,2,0,0,0,6,2,124,0,2,12,1,0,3,154,0,0,0,23,2649,26,0,1,0,2,2,5,8,1,2,29,7,1,10,0,0,7,11,64,2,2,0,5,4,0,0,1,13,94,0,1,0,3,219,4,19,0,0,4,1,0,1,1,3,12,13,1,647,153,51,11,178,17,96,2,329,7,73,5,0,2,27,3,5,2,7,1,0,14,0,4,2,1,2,1,0,67,0,1,0,0,1,1,132,7,1,0,17,2,7,1,0,2,45,1,9,2,1,32,0,12,1,17,54,0,3,2,2,15,33,6,88,14,28,2,169,1,0,5,21,441,0,0,0,0,0,0,172,3,12,0,0,10,10,4,0,0,130,71,6,0,0,0,0,0,12,11,8,72,1,77,0,1,0,12,8,110,19,0,0,1,64,55,109,3,1448,2,25,0,45,50,0,3,1,3,3536,5791,3438,5889,955,370,4523,49,1527,690,1735,125,310,329,0,9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,1,40,0,9,0,0,54,1,0,114,19,10,0,9,22,0,17,27,0,2,0,0,0,6,2,127,0,2,13,1,0,3,156,0,0,0,23,2685,25,0,1,0,2,2,5,8,1,2,29,8,1,9,0,0,7,11,65,2,2,0,5,4,0,0,1,12,95,0,1,0,3,218,5,20,0,0,4,1,0,1,1,3,12,14,1,671,159,51,11,187,18,95,2,324,7,77,5,0,2,27,3,5,2,7,1,0,14,0,4,3,1,2,1,0,67,0,1,0,0,1,1,134,7,1,0,17,2,7,1,0,2,45,2,10,2,1,34,0,12,1,17,58,0,3,2,2,14,36,6,92,15,30,2,175,1,0,6,20,450,0,0,0,0,0,0,173,3,12,0,0,11,10,4,0,0,126,75,7,0,0,0,0,0,11,10,8,75,1,78,0,1,0,12,8,116,20,0,0,2,61,55,106,3,1439,2,25,0,42,50,0,3,1,3,3534,5905,3445,5994,960,374,4610,49,1537,706,1729,126,307,334,0,9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,1,43,0,9,0,0,53,2,0,115,19,10,0,8,23,0,18,27,0,2,0,0,0,6,2,125,0,2,12,1,0,3,155,0,0,0,23,2747,27,0,1,0,2,2,5,8,1,2,29,8,1,10,0,0,7,11,65,2,2,0,5,4,0,0,1,13,92,0,1,0,3,207,5,20,0,0,5,1,0,1,1,3,12,14,1,724,168,56,11,197,18,92,2,317,7,88,5,0,2,27,3,5,2,7,1,0,15,0,4,3,1,2,1,0,69,0,1,0,0,1,1,130,8,1,0,18,2,7,1,0,3,44,2,9,2,1,35,0,12,1,18,61,0,3,2,2,15,37,6,94,14,29,2,180,1,1,6,20,467,0,0,0,0,0,0,170,3,12,0,0,11,10,4,0,0,128,73,6,0,0,0,0,0,11,10,8,75,1,79,0,1,0,12,9,117,22,0,0,2,61,56,103,3,1478,2,25,0,38,56,0,3,1,3,3564,6079,3460,6183,940,382,4761,50,1536,719,1764,127,304,338,0,9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
